ano;GEOCODIGO;cidade;rede;educacao_infantil;anos_iniciais;anos_finais;ensino_fundamental;ensino_medio;eja_fundamental;eja_medio
2021;4310504;IRAÍ;Total;55.6;58;58.2;58.1;60.4;34.6;60
2021;4310538;ITAARA;Total;56.3;76;80.5;78.6;86;82.6;0
2021;4310553;ITACURUBI;Total;25;63;63.8;63.4;64.5;80;0
2021;4310579;ITAPUCA;Total;31.6;42.3;42.7;42.5;37.5;0;0
2021;4310603;ITAQUI;Total;56.8;73.8;65;69.4;57.8;47.3;44.1
2021;4310652;ITATI;Total;58.3;71.4;54.3;60.7;60.3;22.2;0
2021;4310702;ITATIBA DO SUL;Total;69.2;51.9;60.2;56.9;61;0;46.2
2021;4310751;IVORÁ;Total;100;100;50.4;59.1;92.5;0;0
2021;4310801;IVOTI;Total;35.8;77.5;66.2;72.1;69;68;0
2021;4310850;JABOTICABA;Total;100;89.3;56.7;74.3;55.1;22.9;50
2021;4310876;JACUIZINHO;Total;25;48.1;67.8;60;62;70;0
2021;4310900;JACUTINGA;Total;100;71.4;53.8;59.1;54.1;0;42.9
2021;4311007;JAGUARÃO;Total;81.2;66.8;47.1;57.3;72.4;13.3;55.8
2021;4311106;JAGUARI;Total;71;58.3;56.3;57.4;73;57.1;0
2021;4311122;JAQUIRANA;Total;94.7;75.7;30.5;50.8;42;0;0
2021;4311130;JARI;Total;85.7;78.1;71.9;75.5;56.4;0;0
2021;4311155;JÓIA;Total;40.7;60.6;53.9;56.2;64.4;15.2;0
2021;4311205;JÚLIO DE CASTILHOS;Total;85.6;81.8;65.2;73;74.5;30.6;64.9
2021;4311239;LAGOA BONITA DO SUL;Total;94.1;68.8;61.8;65.4;71.4;0;0
2021;4311254;LAGOÃO;Total;75;56.2;41.4;47.4;71.7;55.6;0
2021;4311270;LAGOA DOS TRÊS CANTOS;Total;100;90.9;57.5;80.5;57.1;0;0
2021;4311304;LAGOA VERMELHA;Total;74;70.4;63.8;66.9;74.7;38.2;72.7
2021;4311403;LAJEADO;Total;48.3;75.3;69.1;72.7;70.8;40.9;52.6
2021;4311429;LAJEADO DO BUGRE;Total;83.3;89.5;39.3;62.5;44.8;12.5;23.1
2021;4311502;LAVRAS DO SUL;Total;47.8;89.3;59.4;72.3;58;62.5;0
2021;4311601;LIBERATO SALZANO;Total;63.3;78;53.4;67;64.5;0;0
2021;4311627;LINDOLFO COLLOR;Total;40;91.1;72.2;83.9;56.7;0;0
2021;4311643;LINHA NOVA;Total;40;93.8;64.9;84.6;60.5;0;0
2021;4311700;MACHADINHO;Total;73;85.5;60.1;71.3;54.4;0;0
2021;4311718;MAÇAMBARÁ;Total;100;100;71.3;84.9;64.6;29.6;0
2021;4311734;MAMPITUBA;Total;52.4;100;57;78.6;62.9;55.6;0
